category,image_url,image_path
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-lk-e17572me-c2-s55-golden-brown-eyeglasses_dsc1526_09_11_2024.jpg,images/Eyeglasses_1.jpg
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-lk-e17572me-c2-s55-golden-brown-eyeglasses_dsc1525_09_11_2024.jpg,images/Eyeglasses_2.jpg
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-lk-e17572me-c2-s55-golden-brown-eyeglasses_dsc1527_09_11_2024.jpg,images/Eyeglasses_3.jpg
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-lk-e17572me-c2-s55-golden-brown-eyeglasses_dsc1528_09_11_2024.jpg,images/Eyeglasses_4.jpg
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-lk-e17572me-c2-s55-golden-brown-eyeglasses_dsc1529_09_11_2024.jpg,images/Eyeglasses_5.jpg
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e18768-gold-eyeglasses_dsc8408_29_9_2025.jpg,images/Eyeglasses_7.jpg
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e18768-gold-eyeglasses_dsc8407_29_9_2025.jpg,images/Eyeglasses_8.jpg
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e18768-gold-eyeglasses_dsc8410_29_9_2025.jpg,images/Eyeglasses_9.jpg
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e18768-gold-eyeglasses_dsc8411_29_9_2025.jpg,images/Eyeglasses_10.jpg
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e18768-gold-eyeglasses_dsc8413_29_9_2025.jpg,images/Eyeglasses_11.jpg
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e18768-gold-eyeglasses_dsc8408_image_pla_29_9_2025.jpg,images/Eyeglasses_12.jpg
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-lk-e17572me-c2-s51-golden-brown-eyeglasses_dsc2472_14_11_2024.jpg,images/Eyeglasses_14.jpg
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-lk-e17572me-c2-s51-golden-brown-eyeglasses_dsc2471_14_11_2024.jpg,images/Eyeglasses_15.jpg
Eyeglasses,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/1325x636/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-lk-e17572me-c2-s51-golden-brown-eyeglasses_dsc2473_14_11_2024.jpg,images/Eyeglasses_16.jpg
